NAME,ADDRESS,LONGITUDE,LATITUDE,OCCUPANCY,VACCINATED_PERSONNEL,STATUS
Nooch Vegan Market,10 E Ellsworth Ave,-104.987035,39.716467,0.61,96.2%,CROWDED
Hong Phat Market Inc,1001 S Federal Blvd,-105.025326,39.698428,0.15,38.9%,ALMOST EMPTY
Albertsons,10081 W Bowles Ave,-105.111159,39.610836,0.69,19.2%,CROWDED
King Soopers,101 Englewood Pkwy # A,-104.988862,39.655678,0.22,N/A,A LITTLE CROWDED
Denver Halal Market,10200 E Mississippi Ave # C,-104.869098,39.696473,0.68,N/A,CROWDED
Walmart Neighborhood Market,10400 E Colfax Ave,-104.867622,39.73918,0.77,N/A,CROWDED
Indochina Ginseng Co,1045 S Federal Blvd,-105.025428,39.697586,0.35,N/A,A LITTLE CROWDED
Won's Market,105 Sheridan Blvd,-105.053321,39.719193,0.1,N/A,EMPTY
L & P Seafood,1055 S FEDERAL BLVD,-105.025418,39.697422,0.08,73.8%,EMPTY
New Saigon Market,1076 S Federal Blvd,-105.024726,39.697494,0.31,13.8%,A LITTLE CROWDED
Avanza,10777 E Colfax Ave,-104.862557,39.740245,0.77,N/A,CROWDED
Hau Giang Market,1095 S Federal Blvd,-105.025419,39.696946,0.5,N/A,A LITTLE CROWDED
Tortillas Caseras,110 N. Federal Blvd.,-105.024572,39.718659,0.62,85.0%,CROWDED
Walgreen,1111 S COLORADO BLVD,-104.941041,39.696077,0.1,36.1%,EMPTY
Whole Foods,1111 S Washington St,-104.979828,39.695707,0.29,N/A,A LITTLE CROWDED
New Discount Stores,1133 Yosemite St # C,-104.884727,39.733748,0.69,77.4%,CROWDED
Carniceria la Jerezana,1148 Yosemite St,-104.884692,39.733516,0.61,36.3%,CROWDED
Sprouts Farmers Market,1150 Ironton St,-104.8622272,39.6947506,0.14,71.8%,ALMOST EMPTY
King Soopers,1155 E 9th Ave # A,-104.973777,39.731541,0.87,23.1%,VERY CROWDED
King Soopers,1155 S Havana St # 1,-104.867313,39.695301,0.23,59.1%,A LITTLE CROWDED
Village East Grocery Store,1161 S Peoria St,-104.847535,39.695645,0.63,N/A,CROWDED
Tri Ocean Seafood,1175 S Federal Blvd,-105.025742,39.695486,0.75,N/A,CROWDED
Walgreen,120 N BROADWAY,-104.987212,39.718942,0.9,N/A,VERY CROWDED
Capitol Heights Pharmacy,1200 N MADISON ST,-104.945841,39.735258,0.74,N/A,CROWDED
Safeway,12200 E Mississippi Ave,-104.84594,39.696025,0.9,40.4%,VERY CROWDED
Indus Imports,1225 S Federal Blvd,-105.025364,39.694452,0.33,40.9%,A LITTLE CROWDED
Walgreen,1235 E EVANS AVE,-104.972589,39.679443,0.65,N/A,CROWDED
Mi Pueblo Market,125 Knox Ct,-105.032838,39.718741,0.85,N/A,VERY CROWDED
Alpine Sausage Co.,1272 W. Alaska Pl.,-105.003363,39.708189,0.2,87.8%,ALMOST EMPTY
Lowes Mercado,1320 S Federal Blvd,-105.024279,39.692228,0.64,N/A,CROWDED
